Código;Nome;Tipo;Produtores;Duração;Gênero;Temporada;Álbum;Código do Álbum;Publicação
1;FLASH;M;20;3,31;KP;;QUANTUM LEAP;1;2019
2;Like Always;M;20;3,25;KP;;QUANTUM LEAP;1;2019
3;A-TEEN;M;21;3,16;KP;;A-TEEN Part.3;4;2018
4;Good to Me;M;21;3,1;KP;;SEVENTEEN 6TH MINI ALBUM 'YOU MADE MY DAWN';5;2018
5;BET BET;M;22;3,21;KP;;The 6th Mini Album 'Happily Ever After';6; 2019
6;Different;M;22;3,08;KP;;The 6th Mini Album 'Happily Ever After';6; 2019
7;Gravity&Moon;M;22;3,02;KP;;WHO, YOU;7;2018
8;Dejavu;M;22;3,20;KP;;WHO, YOU;7;2018
9;FANCY;M;23;3,34;KP;;FANCY YOU;8;2019
10;HOT;M;23;2,58;KP;;FANCY YOU;8;2019
11;Up;M;24;3,13;KP;;HEART*IZ;9;2019
12;Violeta;M;24;3,21;KP;;HEART*IZ;9;2019
13;Highlight;M;24;3,29;KP;;HEART*IZ;9;2019
14;Airplane;M;24;3,04;KP;;HEART*IZ;9;2019
15;Maps;M;34;3,1;PP;;V;10;2014
16;Animals;M;34;3,51;PP;;V;10;2014
17;Feelings;M;34;3,15;PP;;V;10;2014
18;インフェルノ;M;32;3,33;JR;;インフェルノ;11;2019
19;Departure!;M;31;4,18;JR;;HUNTER×HUNTER セレクト×ベスト×α;12;2013
20;Fire;M;29;3,36;JR;;Fire (Full Edition);13;2018
21;MASAYUME CHASING;M;28;3,39;JR;;WHO'S BACK?;14;2014
22;ONE SHOT, TWO SHOT;M;28;3,31;KP;;ONE SHOT, TWO SHOT - The 1st Mini Album;15;2018
23;Kanashii Ureshii;M;30;4,46;JR;;TOGENKYO;16;2017
24;If I Tried;M;33;2,28;LF;;Chillhop Essentials Summer 2017;17;2017
25;Hanging Lanterns;M;25;3,53;LF;;Hanging Lanterns;18;2018
26;Phosphorus Kiss;M;26,27;3,07;LF;;Somnolent Nova;19;2019
27;Motionless;M;26,18;3,25;LF;;Somnolent Nova;19;2019
28;Gossamer Dress;M;26,19;3,34;LF;;Somnolent Nova;19;2019
29;Palm Parallels;M;17;4,03;LF;;Chillhop Essentials Summer 2017;17;2017
30;Wavey;M;14,15;2,39;LF;;Chillhop Essentials Summer 2019;20;2019
31;tonite;M;16;2,38;LF;;Chillhop Essentials Summer 2019;20;2019
32;Somnus - Instrumental Version;M;36;2,29;VM;;FINAL FANTASY XV Original Soundtrack;2;2016
33;Valse di Fantastica;M;36;3,4;VM;;FINAL FANTASY XV Original Soundtrack;2;2016
34;The Sunleth Waterscape;M;35;3,46;VM;;FINAL FANTASY XIII Original Soundtrack;3;2010
